params,losses,mean_loss
"{'batch_size': 1024, 'dropout1': 0.033, 'dropout2': 0.007, 'dropout3': 0.299, 'dropout4': 0.261, 'dropout5': 0.221, 'dropout6': 0.036, 'dropout7': 0.306, 'dropout8': 0.323, 'hidden_size1': 256, 'hidden_size2': 96, 'hidden_size3': 128, 'hidden_size4': 896, 'hidden_size5': 48, 'hidden_size6': 64, 'hidden_size7': 96, 'hidden_size8': 256, 'learning_rate': 0.0003, 'n_layers': 7, 'num_epochs': 30}","[0.7610269213659102, 0.7589844799187451, 0.7589575144459138, 0.7593727116887572, 0.7608686727722277]",0.7598420600383108
"{'batch_size': 2048, 'dropout1': 0.073, 'dropout2': 0.213, 'dropout3': 0.015, 'dropout4': 0.41, 'dropout5': 0.279, 'dropout6': 0.022, 'dropout7': 0.206, 'dropout8': 0.106, 'hidden_size1': 448, 'hidden_size2': 512, 'hidden_size3': 48, 'hidden_size4': 448, 'hidden_size5': 128, 'hidden_size6': 1024, 'hidden_size7': 256, 'hidden_size8': 1024, 'learning_rate': 0.005, 'n_layers': 2, 'num_epochs': 25}","[0.761472870874629, 0.7609913623891098, 0.7612457486366649, 0.7679628354935505, 0.7596181996918433]",0.7622582034171594
"{'batch_size': 128, 'dropout1': 0.266, 'dropout2': 0.131, 'dropout3': 0.479, 'dropout4': 0.29, 'dropout5': 0.184, 'dropout6': 0.349, 'dropout7': 0.141, 'dropout8': 0.257, 'hidden_size1': 64, 'hidden_size2': 448, 'hidden_size3': 96, 'hidden_size4': 32, 'hidden_size5': 48, 'hidden_size6': 96, 'hidden_size7': 256, 'hidden_size8': 96, 'learning_rate': 0.0004, 'n_layers': 7, 'num_epochs': 30}","[0.78527366451283, 0.7769990810631355, 0.782313390924572, 0.7826782517589587, 0.7854702587404823]",0.7825469293999957
