params,losses,mean_loss
"{'batch_size': 256, 'dropout1': 0.321, 'dropout2': 0.239, 'dropout3': 0.216, 'dropout4': 0.231, 'dropout5': 0.034, 'dropout6': 0.337, 'dropout7': 0.266, 'dropout8': 0.199, 'hidden_size1': 64, 'hidden_size2': 96, 'hidden_size3': 512, 'hidden_size4': 64, 'hidden_size5': 448, 'hidden_size6': 32, 'hidden_size7': 96, 'hidden_size8': 128, 'learning_rate': 0.001, 'n_layers': 8, 'num_epochs': 35}","[0.7850645631775841, 0.7825288690687102, 0.7907521206897901]",0.7861151843120281
"{'batch_size': 12800, 'dropout1': 0.415, 'dropout2': 0.21, 'dropout3': 0.098, 'dropout4': 0.203, 'dropout5': 0.046, 'dropout6': 0.112, 'dropout7': 0.241, 'dropout8': 0.216, 'hidden_size1': 48, 'hidden_size2': 64, 'hidden_size3': 64, 'hidden_size4': 448, 'hidden_size5': 448, 'hidden_size6': 96, 'hidden_size7': 1024, 'hidden_size8': 128, 'learning_rate': 5e-05, 'n_layers': 6, 'num_epochs': 10}","[0.7504619414097949, 0.7469168538754005, 0.7532329620688394]",0.7502039191180115
"{'batch_size': 256, 'dropout1': 0.391, 'dropout2': 0.459, 'dropout3': 0.111, 'dropout4': 0.199, 'dropout5': 0.352, 'dropout6': 0.21, 'dropout7': 0.117, 'dropout8': 0.471, 'hidden_size1': 1024, 'hidden_size2': 448, 'hidden_size3': 448, 'hidden_size4': 1024, 'hidden_size5': 96, 'hidden_size6': 512, 'hidden_size7': 256, 'hidden_size8': 512, 'learning_rate': 0.0008, 'n_layers': 8, 'num_epochs': 50}","[0.7837479828366916, 0.7821691357809595, 0.7886214759645342]",0.7848461981940617
"{'batch_size': 1024, 'dropout1': 0.241, 'dropout2': 0.241, 'dropout3': 0.379, 'dropout4': 0.074, 'dropout5': 0.319, 'dropout6': 0.469, 'dropout7': 0.171, 'dropout8': 0.038, 'hidden_size1': 96, 'hidden_size2': 48, 'hidden_size3': 32, 'hidden_size4': 448, 'hidden_size5': 64, 'hidden_size6': 32, 'hidden_size7': 512, 'hidden_size8': 128, 'learning_rate': 7.000000000000001e-05, 'n_layers': 3, 'num_epochs': 50}","[0.7837948024669829, 0.7819361672879915, 0.7881615725338482]",0.7846308474296076
"{'batch_size': 1024, 'dropout1': 0.203, 'dropout2': 0.263, 'dropout3': 0.07, 'dropout4': 0.444, 'dropout5': 0.328, 'dropout6': 0.06, 'dropout7': 0.433, 'dropout8': 0.391, 'hidden_size1': 48, 'hidden_size2': 64, 'hidden_size3': 1024, 'hidden_size4': 32, 'hidden_size5': 512, 'hidden_size6': 48, 'hidden_size7': 1024, 'hidden_size8': 448, 'learning_rate': 5e-05, 'n_layers': 6, 'num_epochs': 10}","[0.7748954766725825, 0.7733215823568848, 0.7797244775151081]",0.7759805121815252
"{'batch_size': 256, 'dropout1': 0.171, 'dropout2': 0.438, 'dropout3': 0.214, 'dropout4': 0.22, 'dropout5': 0.463, 'dropout6': 0.44, 'dropout7': 0.478, 'dropout8': 0.29, 'hidden_size1': 448, 'hidden_size2': 448, 'hidden_size3': 256, 'hidden_size4': 512, 'hidden_size5': 1024, 'hidden_size6': 448, 'hidden_size7': 128, 'hidden_size8': 512, 'learning_rate': 0.0002, 'n_layers': 5, 'num_epochs': 25}","[0.7821551727267388, 0.781761787287431, 0.7853319619697824]",0.7830829739946507
"{'batch_size': 512, 'dropout1': 0.085, 'dropout2': 0.366, 'dropout3': 0.103, 'dropout4': 0.338, 'dropout5': 0.237, 'dropout6': 0.172, 'dropout7': 0.151, 'dropout8': 0.159, 'hidden_size1': 896, 'hidden_size2': 48, 'hidden_size3': 512, 'hidden_size4': 48, 'hidden_size5': 448, 'hidden_size6': 64, 'hidden_size7': 96, 'hidden_size8': 1024, 'learning_rate': 0.0001, 'n_layers': 4, 'num_epochs': 25}","[0.7833104273386691, 0.7803729575954449, 0.785439412033359]",0.783040932322491
"{'batch_size': 512, 'dropout1': 0.214, 'dropout2': 0.266, 'dropout3': 0.183, 'dropout4': 0.31, 'dropout5': 0.421, 'dropout6': 0.066, 'dropout7': 0.311, 'dropout8': 0.052, 'hidden_size1': 256, 'hidden_size2': 256, 'hidden_size3': 448, 'hidden_size4': 32, 'hidden_size5': 32, 'hidden_size6': 256, 'hidden_size7': 512, 'hidden_size8': 32, 'learning_rate': 0.006, 'n_layers': 2, 'num_epochs': 30}","[0.7840909817655317, 0.7790531712968719, 0.7883658971818904]",0.7838366834147646
"{'batch_size': 10240, 'dropout1': 0.348, 'dropout2': 0.311, 'dropout3': 0.457, 'dropout4': 0.069, 'dropout5': 0.083, 'dropout6': 0.237, 'dropout7': 0.198, 'dropout8': 0.332, 'hidden_size1': 48, 'hidden_size2': 96, 'hidden_size3': 48, 'hidden_size4': 32, 'hidden_size5': 448, 'hidden_size6': 48, 'hidden_size7': 32, 'hidden_size8': 1024, 'learning_rate': 8e-05, 'n_layers': 7, 'num_epochs': 15}","[0.7654885348884217, 0.7650461755034379, 0.7692718310671323]",0.7666021804863306
"{'batch_size': 2560, 'dropout1': 0.158, 'dropout2': 0.386, 'dropout3': 0.268, 'dropout4': 0.185, 'dropout5': 0.012, 'dropout6': 0.332, 'dropout7': 0.14, 'dropout8': 0.475, 'hidden_size1': 256, 'hidden_size2': 256, 'hidden_size3': 512, 'hidden_size4': 1024, 'hidden_size5': 96, 'hidden_size6': 256, 'hidden_size7': 448, 'hidden_size8': 96, 'learning_rate': 7.000000000000001e-05, 'n_layers': 2, 'num_epochs': 35}","[0.7866495211056037, 0.7838012149356495, 0.7882357400944849]",0.7862288253785793
